project_name,turbine_code,turbine_name,latitude,longitude,location,height_meters,timezone_name,timezone_offset
Block_Island,B1,BIWF1,41.1257333,-71.5075667,0101000020E610000079420AF97BE051C053C25D0718904440,258,America/New_York,-5
Block_Island,B2,BIWF2,41.1199333,-71.51395,0101000020E6100000DE718A8EE4E051C0C69970F9598F4440,258,America/New_York,-5
Block_Island,B3,BIWF3,41.1147667,-71.52116,0101000020E6100000EFFE78AF5AE151C0BD95DBACB08E4440,258,America/New_York,-5
Block_Island,B4,BIWF4,41.1102,-71.52911,0101000020E6100000247F30F0DCE151C075029A081B8E4440,258,America/New_York,-5
Block_Island,B5,BIWF5,41.1063833,-71.53765,0101000020E610000071AC8BDB68E251C0972BCDF79D8D4440,258,America/New_York,-5
Revolution_Wind,RWAE06,B07,41.22592,-71.172786,0101000020E61000003ACD02ED0ECB51C094C151F2EA9C4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAE07,B08,41.226262,-71.150834,0101000020E6100000FE47A643A7C951C0ED293927F69C4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAE08,B09,41.226734,-71.128649,0101000020E610000070EA03C93BC851C01572A59E059D4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAE09,B10,41.227208,-71.106707,0101000020E610000046D09849D4C651C0DDB1D826159D4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAE10,B11,41.227551,-71.084688,0101000020E6100000469737876BC551C007962364209D4440,458,America/New_York,-5
Revolution_Wind,RWAE11,B12,41.227945,-71.062721,0101000020E61000006FF1F09E03C451C0B324404D2D9D4440,458,America/New_York,-5
Revolution_Wind,RWAF05,B13,41.208817,-71.19412,0101000020E6100000F8DF4A766CCC51C0A7ECF483BA9A4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAF06,B14,41.209246,-71.172269,0101000020E610000056478E7406CB51C0CF68AB92C89A4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAF08,Z02,41.21013,-71.12837,0101000020E610000067F2CD3637C851C049F4328AE59A4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAF09,B15,41.210482,-71.106257,0101000020E610000026FE28EACCC651C0C632FD12F19A4440,458,Etc/GMT+5,-5
Revolution_Wind,RWAF10,B16,41.210878,-71.084192,0101000020E61000006EA5D76663C551C013B9E00CFE9A4440,458,America/New_York,-5
Revolution_Wind,RWAF11,B17,41.211272,-71.062301,0101000020E6100000856055BDFCC351C0BF47FDF50A9B4440,458,America/New_York,-5
Revolution_Wind,RWAG04,B18,41.19174,-71.215731,0101000020E6100000F06E6589CECD51C0E3AAB2EF8A984440,458,Etc/GMT+5,-5
Revolution_Wind,RWAG05,B19,41.192161,-71.193755,0101000020E6100000EF1B5F7B66CC51C088484DBB98984440,458,Etc/GMT+5,-5
Revolution_Wind,RWAG06,B20,41.192579,-71.171712,0101000020E61000002B155454FDCA51C0BD72BD6DA6984440,458,Etc/GMT+5,-5
Revolution_Wind,RWAG07,B21,41.192996,-71.149733,0101000020E61000007288B83995C951C02121CA17B4984440,458,Etc/GMT+5,-5
Revolution_Wind,RWAG08,B22,41.193441,-71.127668,0101000020E6100000BA2F67B62BC851C04F5AB8ACC2984440,458,Etc/GMT+5,-5
Revolution_Wind,RWAG09,B23,41.193765,-71.105988,0101000020E61000002E71E481C8C651C0020EA14ACD984440,458,Etc/GMT+5,-5
